mmsi,time,traj_id,x,y,prob
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,60.0000000000,0,6958874.4632654367,40874.4635230352,1.0000000000
1,65.0000000000,0,6959176.9187655766,41179.9949289505,1.0000000000
1,65.0000000000,0,6959171.8760647243,41174.9494515236,1.0000000000
1,65.0000000000,0,6959167.0156749757,41169.7281216312,1.0000000000
1,65.0000000000,0,6959162.1390172867,41164.5219825492,1.0000000000
1,65.0000000000,0,6959157.2419479741,41159.3350386990,1.0000000000
1,65.0000000000,0,6959152.3267930932,41154.1652295291,1.0000000000
1,65.0000000000,0,6959147.3957897937,41149.0105345027,1.0000000000
1,65.0000000000,0,6959142.4509008694,41143.8691584335,1.0000000000
1,65.0000000000,0,6959137.4938431662,41138.7395138769,1.0000000000
1,65.0000000000,0,6959132.5261187823,41133.6201986102,1.0000000000
1,65.0000000000,0,6959127.5490424158,41128.5099750148,1.0000000000
1,65.0000000000,0,6959122.5637651440,41123.4077514921,1.0000000000
1,65.0000000000,0,6959117.5712951133,41118.3125657895,1.0000000000
1,65.0000000000,0,6959112.5725155491,41113.2235700909,1.0000000000
1,65.0000000000,0,6959107.5682004448,41108.1400177217,1.0000000000
1,65.0000000000,0,6959102.5590282381,41103.0612513208,1.0000000000
1,65.0000000000,0,6959097.5455937386,41097.9866923372,1.0000000000
1,65.0000000000,0,6959092.5284185428,41092.9158317185,1.0000000000
1,65.0000000000,0,6959087.5079601258,41087.8482216664,1.0000000000
1,65.0000000000,0,6959082.4846197888,41082.7834683447,1.0000000000
1,65.0000000000,0,6959077.4587496053,41077.7212254375,1.0000000000
1,65.0000000000,0,6959072.4306585016,41072.6611884610,1.0000000000
1,65.0000000000,0,6959067.4006175725,41067.6030897461,1.0000000000
1,65.0000000000,0,6959062.3688647412,41062.5466940140,1.0000000000
1,65.0000000000,0,6959057.3356088344,41057.4917944771,1.0000000000
1,65.0000000000,0,6959052.3010331551,41052.4382094051,1.0000000000
1,65.0000000000,0,6959047.2652986133,41047.3857791006,1.0000000000
1,65.0000000000,0,6959042.2285464723,41042.3343632373,1.0000000000
1,65.0000000000,0,6959037.1909007514,41037.2838385171,1.0000000000
1,65.0000000000,0,6959032.1524703382,41032.2340966099,1.0000000000
1,65.0000000000,0,6959027.1133508384,41027.1850423402,1.0000000000
1,65.0000000000,0,6959022.0736261969,41022.1365920931,1.0000000000
1,65.0000000000,0,6959017.0333701260,41017.0886724130,1.0000000000
1,65.0000000000,0,6959011.9926473526,41012.0412187704,1.0000000000
1,65.0000000000,0,6959006.9515147144,41006.9941744796,1.0000000000
1,65.0000000000,0,6959001.9100221228,41001.9474897456,1.0000000000
1,65.0000000000,0,6958996.8682134096,40996.9011208278,1.0000000000
1,65.0000000000,0,6958991.8261270663,40991.8550293045,1.0000000000
1,65.0000000000,0,6958986.7837968962,40986.8091814264,1.0000000000
1,65.0000000000,0,6958981.7412525853,40981.7635475492,1.0000000000
1,65.0000000000,0,6958976.6985202041,40976.7181016341,1.0000000000
1,65.0000000000,0,6958971.6556226481,40971.6728208101,1.0000000000
1,65.0000000000,0,6958966.6125800256,40966.6276849882,1.0000000000
1,65.0000000000,0,6958961.5694099963,40961.5826765236,1.0000000000
1,65.0000000000,0,6958956.5261280695,40956.5377799183,1.0000000000
1,65.0000000000,0,6958951.4827478658,40951.4929815599,1.0000000000
1,65.0000000000,0,6958946.4392813491,40946.4482694922,1.0000000000
1,65.0000000000,0,6958941.3957390245,40941.4036332141,1.0000000000
1,65.0000000000,0,6958936.3521301206,40936.3590635020,1.0000000000
1,65.0000000000,0,6958931.3084627418,40931.3145522548,1.0000000000
1,65.0000000000,0,6958926.2647440052,40926.2700923575,1.0000000000
1,65.0000000000,0,6958921.2209801618,40921.2256775605,1.0000000000
1,65.0000000000,0,6958916.1771767018,40916.1813023750,1.0000000000
1,65.0000000000,0,6958911.1333384477,40911.1369619802,1.0000000000
1,65.0000000000,0,6958906.0894696340,40906.0926521419,1.0000000000
1,65.0000000000,0,6958901.0455739805,40901.0483691411,1.0000000000
1,65.0000000000,0,6958896.0016547544,40896.0041097116,1.0000000000
1,65.0000000000,0,6958890.9577148240,40890.9598709846,1.0000000000
1,65.0000000000,0,6958885.9137567095,40885.9156504405,1.0000000000
1,65.0000000000,0,6958880.8697826248,40880.8714458661,1.0000000000
